+---------------------------------+----------+--------------------+------------------+---------+
| Name                            | Status   | Type               | Library          | License |
+---------------------------------+----------+--------------------+------------------+---------+
| binlog                          | ACTIVE   | STORAGE ENGINE     | NULL             | GPL     |
| mysql_native_password           | ACTIVE   | AUTHENTICATION     | NULL             | GPL     |
| sha256_password                 | ACTIVE   | AUTHENTICATION     | NULL             | GPL     |
| caching_sha2_password           | ACTIVE   | AUTHENTICATION     | NULL             | GPL     |
| sha2_cache_cleaner              | ACTIVE   | AUDIT              | NULL             | GPL     |
| CSV                             | ACTIVE   | STORAGE ENGINE     | NULL             | GPL     |
| MEMORY                          | ACTIVE   | STORAGE ENGINE     | NULL             | GPL     |
| InnoDB                          | ACTIVE   | STORAGE ENGINE     | NULL             | GPL     |
| INNODB_TRX                      | ACTIVE   | INFORMATION SCHEMA | NULL             | GPL     |
| INNODB_CMP                      | ACTIVE   | INFORMATION SCHEMA | NULL             | GPL     |
| INNODB_CMP_RESET                | ACTIVE   | INFORMATION SCHEMA | NULL             | GPL     |
| INNODB_CMPMEM                   | ACTIVE   | INFORMATION SCHEMA | NULL             | GPL     |
| INNODB_CMPMEM_RESET             | ACTIVE   | INFORMATION SCHEMA | NULL             | GPL     |
| INNODB_CMP_PER_INDEX            | ACTIVE   | INFORMATION SCHEMA | NULL             | GPL     |
| INNODB_CMP_PER_INDEX_RESET      | ACTIVE   | INFORMATION SCHEMA | NULL             | GPL     |
| INNODB_BUFFER_PAGE              | ACTIVE   | INFORMATION SCHEMA | NULL             | GPL     |
| INNODB_BUFFER_PAGE_LRU          | ACTIVE   | INFORMATION SCHEMA | NULL             | GPL     |
| INNODB_BUFFER_POOL_STATS        | ACTIVE   | INFORMATION SCHEMA | NULL             | GPL     |
| INNODB_TEMP_TABLE_INFO          | ACTIVE   | INFORMATION SCHEMA | NULL             | GPL     |
| INNODB_METRICS                  | ACTIVE   | INFORMATION SCHEMA | NULL             | GPL     |
| INNODB_FT_DEFAULT_STOPWORD      | ACTIVE   | INFORMATION SCHEMA | NULL             | GPL     |
| INNODB_FT_DELETED               | ACTIVE   | INFORMATION SCHEMA | NULL             | GPL     |
| INNODB_FT_BEING_DELETED         | ACTIVE   | INFORMATION SCHEMA | NULL             | GPL     |
| INNODB_FT_CONFIG                | ACTIVE   | INFORMATION SCHEMA | NULL             | GPL     |
| INNODB_FT_INDEX_CACHE           | ACTIVE   | INFORMATION SCHEMA | NULL             | GPL     |
| INNODB_FT_INDEX_TABLE           | ACTIVE   | INFORMATION SCHEMA | NULL             | GPL     |
| INNODB_TABLES                   | ACTIVE   | INFORMATION SCHEMA | NULL             | GPL     |
| INNODB_TABLESTATS               | ACTIVE   | INFORMATION SCHEMA | NULL             | GPL     |
| INNODB_INDEXES                  | ACTIVE   | INFORMATION SCHEMA | NULL             | GPL     |
| INNODB_TABLESPACES              | ACTIVE   | INFORMATION SCHEMA | NULL             | GPL     |
| INNODB_COLUMNS                  | ACTIVE   | INFORMATION SCHEMA | NULL             | GPL     |
| INNODB_VIRTUAL                  | ACTIVE   | INFORMATION SCHEMA | NULL             | GPL     |
| INNODB_CACHED_INDEXES           | ACTIVE   | INFORMATION SCHEMA | NULL             | GPL     |
| INNODB_SESSION_TEMP_TABLESPACES | ACTIVE   | INFORMATION SCHEMA | NULL             | GPL     |
| MyISAM                          | ACTIVE   | STORAGE ENGINE     | NULL             | GPL     |
| MRG_MYISAM                      | ACTIVE   | STORAGE ENGINE     | NULL             | GPL     |
| PERFORMANCE_SCHEMA              | ACTIVE   | STORAGE ENGINE     | NULL             | GPL     |
| TempTable                       | ACTIVE   | STORAGE ENGINE     | NULL             | GPL     |
| ARCHIVE                         | DISABLED | STORAGE ENGINE     | NULL             | GPL     |
| BLACKHOLE                       | DISABLED | STORAGE ENGINE     | NULL             | GPL     |
| FEDERATED                       | DISABLED | STORAGE ENGINE     | NULL             | GPL     |
| ngram                           | ACTIVE   | FTPARSER           | NULL             | GPL     |
| mysqlx                          | DISABLED | DAEMON             | NULL             | GPL     |
| mysqlx_cache_cleaner            | ACTIVE   | AUDIT              | NULL             | GPL     |
| aad_auth                        | ACTIVE   | AUTHENTICATION     | AADAuthMySQL.dll | GPL     |
| SQLPAL_XAUDIT                   | ACTIVE   | AUDIT              | SqlPalXAudit.dll | GPL     |
+---------------------------------+----------+--------------------+------------------+---------+
46 rows in set (0.24 sec)
